gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
CDC25A	176.6013129831633	2.113495757106507	0.19506626544716812	1.482982223569566e-28	4.193927088934441e-27
CDC25C	194.2558372854724	4.338765039075359	0.21449195427622467	1.3804902651476596e-92	6.510046967870076e-89
CDC45	250.79616025521108	3.056804848673006	0.18973388836970415	1.0024405133787348e-59	1.853827000378733e-57
CDC6	541.9678222955453	3.1791130973760158	0.18983278507260115	3.0073788757520027e-64	6.596300899222096e-62
CDC7	178.14242690209846	2.030397086081848	0.16267378711228123	6.5191908727387234e-37	3.4836118252824517e-35
CDCA2	98.552713589052	3.137090349870485	0.21533790888658877	2.164018025461462e-49	2.401168942016444e-47
CDCA3	317.0503931024906	3.2946627075395	0.18552799522753166	7.999952130890855e-72	2.847228246131966e-69
CDCA5	518.469774948214	3.4185593780397174	0.1783673683786613	4.055877042515242e-83	4.0266320343665796e-80
CDCA7	171.1395722529361	3.577099269326231	0.31576962724944857	4.754696523706967e-31	1.657815906223374e-29
CDCA8	343.51443812684334	3.1344894150901506	0.17848228565641075	2.3860717960713972e-70	7.501412048215795e-68
CDH10	5.825456126373825	3.1191360379635027	0.8533228194597274	4.578471645529109e-6	1.2790833923225058e-5
CDH12	29.90511863966549	3.714533688621242	0.712270557694884	4.435845957202487e-9	1.807981034803598e-8
CDH13	393.0058467081538	2.3268019037319054	0.13919336283509498	5.248443636793878e-64	1.1379470381706083e-61
CDH16	120.38780863310991	2.260518942191807	0.41130020438843323	1.5738880716371138e-9	6.807670418548699e-9
CDH17	25.6769794061129	2.536821038495776	0.45444648264220366	8.860397845219278e-10	3.965211970447716e-9
CDH19	80.20657023023428	-2.158281462266131	0.36087904961296946	1.006627730735502e-10	5.036609783783494e-10
CDH22	33.76775367746899	3.2875622461428646	0.5948212590456403	1.046714232026803e-9	4.626094320225301e-9
CDH24	135.0316729028708	2.1004125812779475	0.15644615604609666	2.8337107015047314e-42	2.1380913984993497e-40
CDH8	9.476828913885017	3.6679326040516793	0.39492901380587236	6.9471568475282565e-22	1.0750141067672313e-20
CDH9	12.565663843460934	5.096768539278638	0.8960836809272811	4.8490847256904245e-11	2.512174819574251e-10
CDK1	609.9657974035795	3.450431432405509	0.18815643820810837	2.334296070571094e-76	1.048376828075775e-73
CDKN2A	671.3696852886796	4.011892284188819	0.22544161640349722	3.221825678883168e-72	1.168717265014869e-69
CDKN2C	756.3080806417586	2.2767090301772153	0.16325600600301274	1.8507859093230274e-45	1.6865398361140225e-43
CDKN3	367.26726671062295	3.9120326668435252	0.19034837699450402	3.572972040711611e-95	2.2465657201314374e-91
CDRT1	19.50932778660832	3.155071015428037	0.3809372348096565	5.096318890120816e-18	5.490112120179837e-17
CDT1	529.994109251171	3.4000470896035346	0.2009930415411934	1.8931300995724011e-65	4.6376770218485976e-63
CDX2	6.416503942030941	3.494210862742503	0.5215914050662658	7.677462493341563e-13	4.881023761776268e-12
