UMAP_1	UMAP_2	Highlight	cell_id
4.011475553	-8.109073582	none	cell332
9.26584815	-7.417466584	none	cell333
5.505755891	-9.250754777	none	cell334
7.511542787	-7.959619465	none	cell335
9.474784841	-7.195764485	none	cell336
7.037259569	-7.971013489	none	cell337
7.791218748	-8.139221135	none	cell338
9.496916761	-7.245974484	none	cell339
11.06800174	-6.392419758	none	cell340
8.145328512	-7.938688698	none	cell341
7.3223071	-8.052353802	none	cell342
6.894678583	-8.522489968	none	cell343
9.338066091	-7.360469285	none	cell344
7.771334638	-8.006532136	none	cell345
6.65918683	-7.44992632	none	cell346
6.922730436	-5.928956452	none	cell347
5.970698824	-7.287985268	none	cell348
7.018504133	-7.485909405	none	cell349
6.648465624	-7.539328042	none	cell350
9.732570638	-7.279380742	none	cell351
6.149683942	-7.619402829	none	cell352
5.541004171	-7.011385384	none	cell353
7.215473165	-7.579777661	none	cell354
5.626601686	-7.863842431	none	cell355
4.763355722	-6.932495537	none	cell356
4.049143305	-7.680534306	none	cell357
4.791226854	-8.915682259	none	cell358
8.0387535	-7.603001538	none	cell359
6.145524015	-7.24666113	none	cell360
5.695380678	-7.250444356	none	cell361
7.712756147	-8.01886982	none	cell362
5.791011324	-7.812125626	none	cell363
10.75039481	-6.169111672	none	cell364
4.012766351	-7.50474638	none	cell365
4.882035722	-7.547350827	none	cell366
5.903997888	-7.399624291	none	cell367
6.490620126	-7.448756638	none	cell368
4.238212099	-7.229289952	none	cell369
4.188249578	-7.347141686	none	cell370
8.925346365	-6.752424183	none	cell371
4.147434225	-7.128807011	none	cell372
8.758176794	-6.88175005	none	cell373
3.602375497	-7.358782712	none	cell374
5.74036931	-7.459392491	none	cell375
3.947615614	-8.109435978	none	cell376
4.597452631	-10.17802757	none	cell377
9.823087682	-6.534810963	none	cell378
4.461217394	-7.538879815	none	cell379
6.153634061	-5.437064591	none	cell380
4.64785861	-8.245042267	none	cell381
4.389237394	-6.866447392	none	cell382
8.895652761	-7.325734082	none	cell383
6.908222665	-4.386784974	none	cell384
