gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
BAGE3	2894.5487475521063	7.2036227635581005	0.6277702450982166	4.504883027792833e-32	4.228481094931168e-31
BAGE4	2764.2490930951403	7.259291442620759	0.6288076675320163	1.889626957641444e-32	1.7983733571986162e-31
BAGE5	2764.2210707486684	7.259274995987362	0.6288107798299152	1.8914911011214546e-32	1.7993885622599336e-31
BAI3	4734.106315335841	-2.1207805562282926	0.18174325919980405	1.840168824801127e-32	1.752782166806139e-31
BANF2	331.64424072884026	3.7975593409060164	0.4819228750853068	2.403516594891906e-17	1.0801703239142771e-16
BASE	28.722470501834852	27.711330747344014	1.137786160563318	2.1512931316398912e-131	4.184821509952944e-129
BCAN	7987.461412505146	3.243592432735692	0.21021257631827336	1.303748058206082e-55	3.194253521544e-54
BCAS1	15858.036893665863	2.3962394052044833	0.22233264721801232	3.6630423237241094e-28	2.882027546542348e-27
BCO2	245377.4283446664	-2.349740711652944	0.1347207659018488	3.8478980162720264e-69	1.499616903923632e-67
BHLHA9	65.09391879264646	-3.4340673136137796	0.871032925773027	8.288023361598586e-7	1.906997523753157e-6
BIRC5	54954.8237449342	2.9838667632474087	0.11956683152556632	4.673532918934464e-139	1.1462855469103933e-136
BIRC7	1778.510036939038	2.8096669181867413	0.328689768762989	4.650540671310217e-19	2.2897545330158205e-18
BK250D10.8	378.62824641946867	4.425883734018615	0.4264241689572144	3.486958599488125e-27	2.6201538727089426e-26
BMP10	4912.402645763874	-3.9377691534306507	0.3610349574907885	7.015302811875654e-30	5.978108306267906e-29
BMP4	53207.365251409065	2.0084119381052847	0.13240972713542137	5.951255823101007e-53	1.3335659150772018e-51
BMP5	9138.738911920582	-2.3897296742014658	0.25077356836537074	1.2740131122286773e-22	7.581251549957833e-22
BMPER	38624.40865092946	-3.262789796469481	0.16954726639344037	1.875986163394379e-84	1.1824477032679934e-82
BPESC1	94.96521338190124	3.1865025841629016	0.7757621551893419	5.308899502492247e-7	1.240630874831582e-6
BPIL1	17015.839053842352	4.637950909094718	0.3416799559238709	1.0259404411805162e-43	1.6143895436010005e-42
BPIL3	72.48225219859178	28.411981052191468	1.0359099886725076	5.298968479293806e-166	2.1352004238440128e-163
BRS3	45.731814431638135	3.0229669846771725	0.789495836601047	1.8441469594249118e-6	4.135676420137461e-6
BTNL8	9611.919770772065	2.389807235278788	0.21370989662773587	4.225243013806885e-30	3.63903086284551e-29
BUB1	31947.358713654692	3.047751561877084	0.11706807926859397	4.285793262208252e-151	1.306877364347692e-148
